name,age,height_cm,body_type,job_type,salary_lpa,family_networth,family_occupation,religion,cast,nri,fairness,dowry
Jeremiah Bora,34,191,athletic,private job,16.79,326.41,service,muslim,st,yes,fair,111.98
Nihal Kunda,37,193,slim,business,36.2,292.72,politics,sikh,general,no,very fair,37.25
Frederick Gera,28,155,avrage,business,13.85,174.94,professional,christin,st,no,bark,109.79
Wahab Amble,23,181,heavy,startup,8.41,66.05,professional,muslim,sc,no,very fair,24.45
Charan Garg,22,179,slim,business,4.35,268.49,service,buddhist,sc,yes,bark,93.16
Darsh Ram,40,164,slim,government job,38.65,185.02,professional,muslim,obc,no,fair,72.57
Umang Sridhar,38,193,slim,government job,4.11,368.62,agriculture,muslim,st,yes,fair,125.24
Faris Rout,36,180,heavy,self employee,15.24,273.56,service,muslim,general,yes,fair,117.01
Max Bala,43,180,slim,government job,28.75,228.38,politics,hindu,st,no,bark,141.96
Balendra Chaudry,36,184,avrage,self employee,4.83,478.01,politics,buddhist,general,yes,fair,135.78
Nachiket Aurora,47,161,slim,startup,14.89,345.85,service,hindu,obc,no,fair,76.53
Aditya Mani,24,156,athletic,business,36.9,58.4,agriculture,muslim,st,yes,fair,103.54
Ethan Suresh,37,180,athletic,government job,36.69,398.44,agriculture,buddhist,sc,yes,bark,144.14
Veer Johal,22,174,heavy,startup,11.98,147.72,professional,muslim,general,yes,wheatish,69.14
Daksh Majumdar,37,168,slim,business,13.22,65.78,professional,sikh,obc,no,very fair,64.9
Vincent Wagle,27,168,avrage,government job,12.42,480.59,politics,sikh,sc,yes,wheatish,98.84
Abhimanyu Kuruvilla,44,171,heavy,private job,37.21,278.45,business,buddhist,sc,no,very fair,26.49
Bachittar Ahuja,34,186,avrage,government job,25.52,471.31,politics,jain,sc,yes,very fair,128.93
Farhan Bala,33,196,avrage,self employee,35.06,265.92,politics,hindu,sc,yes,fair,65.24
Kalpit Ramaswamy,27,157,slim,startup,21.25,379.35,business,sikh,general,no,fair,109.47
Chatura Saini,32,159,heavy,self employee,22.94,90.39,politics,sikh,sc,yes,fair,25.93
Chakradev Pillai,26,196,slim,business,13.9,73.5,service,sikh,sc,yes,bark,60.47
Dakshesh Sahota,28,159,athletic,self employee,10.92,126.19,agriculture,hindu,st,no,fair,68.45
Harsh Gupta,43,178,heavy,business,36.09,224.8,business,christin,sc,no,wheatish,79.96
Hardik Kalla,22,196,avrage,business,35.38,219.15,service,sikh,sc,yes,fair,10.47
Dhruv Palla,37,193,athletic,startup,17.16,286.2,service,jain,st,yes,very fair,118.09
Chandresh Guha,32,179,heavy,private job,32.28,360.26,business,hindu,obc,no,fair,102.62
Zayan Naik,37,164,athletic,business,13.55,281.8,agriculture,sikh,st,yes,bark,119.76
Reyansh Bakshi,32,189,athletic,government job,30.44,90.59,politics,sikh,general,yes,fair,41.23
Naksh Buch,34,158,athletic,government job,33.44,489.41,service,hindu,general,yes,very fair,52.07
Nachiket Sami,21,161,slim,startup,12.21,462.01,professional,jain,general,yes,wheatish,128.46
Pranit Karnik,43,199,athletic,self employee,20.25,455.33,business,hindu,general,no,very fair,145.64
Samar Sur,21,180,avrage,private job,13.64,333.74,agriculture,muslim,sc,no,bark,26.57
Parth Wagle,42,175,athletic,self employee,23.29,185.06,business,jain,general,yes,wheatish,27.96
Mohammed Mukherjee,23,169,avrage,government job,12.59,143.84,business,buddhist,st,yes,wheatish,83.91
Ekansh Krishnan,40,171,athletic,business,20.04,130.1,professional,jain,st,yes,fair,144.24
Wriddhish Chaudry,31,179,heavy,private job,11.67,444.21,professional,christin,st,no,wheatish,65.59
Lakshit Dave,45,167,athletic,government job,35.57,167.31,politics,buddhist,st,no,fair,51.51
Henry Wable,36,179,athletic,private job,27.35,356.9,business,muslim,obc,no,bark,112.28
Qarin Chaudhari,26,171,athletic,private job,22.45,363.44,politics,muslim,obc,yes,fair,126.69
Dakshesh Lata,26,197,athletic,startup,19.89,158.07,politics,jain,sc,no,very fair,67.77
Quincy Sheth,22,159,avrage,private job,14.24,59.23,politics,christin,sc,yes,wheatish,143.97
Agastya Swamy,37,189,avrage,startup,8.78,326.46,agriculture,christin,general,no,very fair,128.64
Harsh Goyal,28,179,slim,self employee,35.34,407.86,business,sikh,general,yes,wheatish,73.03
Utkarsh Ghosh,34,162,slim,startup,24.96,179.11,business,hindu,st,yes,wheatish,25.5
Girish Bhargava,39,198,avrage,government job,39.5,427.82,business,christin,sc,no,bark,26.46
Sathvik Shenoy,37,164,heavy,startup,36.64,273.68,service,hindu,st,no,wheatish,136.47
Christopher Shan,41,168,athletic,private job,9.91,404.8,business,christin,general,no,fair,50.19
Balveer Oommen,24,169,heavy,self employee,15.99,236.94,professional,jain,obc,yes,bark,136.75
Yatin Ranganathan,38,161,athletic,self employee,4.92,274.82,service,jain,st,yes,very fair,19.63
Banjeet Kata,27,161,athletic,self employee,33.19,316.57,politics,sikh,sc,no,fair,61.14
Baljiwan Garg,26,192,heavy,private job,6.31,495.63,agriculture,sikh,sc,yes,very fair,83.06
Rushil Natarajan,32,187,athletic,self employee,15.73,486.24,politics,christin,sc,no,very fair,107.93
Bahadurjit Doshi,40,190,slim,business,11.93,204.62,service,buddhist,general,no,fair,108.7
William Raman,32,156,athletic,self employee,16.99,199.4,service,hindu,obc,no,fair,145.0
Chanakya Murthy,32,169,avrage,business,34.68,496.84,service,muslim,general,yes,wheatish,97.53
Kiaan Bains,47,197,athletic,business,8.22,29.55,service,sikh,obc,yes,very fair,23.19
Mitesh Din,46,181,heavy,government job,31.23,121.33,professional,jain,obc,yes,bark,14.78
Harish Gole,33,200,athletic,self employee,16.07,96.37,agriculture,christin,obc,no,very fair,127.81
Girik Pal,23,200,avrage,private job,14.53,101.5,service,jain,obc,no,very fair,123.74
Theodore Kalita,25,188,athletic,business,17.09,332.94,professional,muslim,sc,yes,very fair,78.36
Harish Pai,29,167,heavy,startup,37.95,12.37,politics,buddhist,sc,yes,wheatish,33.63
Neel Pant,42,184,athletic,self employee,27.12,436.42,service,jain,obc,no,fair,61.2
Kiaan Kade,44,164,avrage,government job,11.86,11.99,politics,sikh,obc,no,very fair,44.97
Tanay Datta,33,166,heavy,government job,28.21,99.5,business,muslim,obc,yes,bark,138.81
Vihaan Das,45,167,athletic,self employee,7.01,297.52,agriculture,hindu,obc,no,very fair,22.06
Orinder Parmar,37,168,avrage,private job,27.7,371.54,politics,muslim,obc,no,wheatish,63.73
Bahadurjit Badami,46,159,heavy,self employee,33.94,298.98,service,hindu,st,yes,bark,72.36
Gaurav Char,29,174,heavy,startup,27.92,486.08,professional,hindu,sc,no,bark,90.11
Ranbir Rao,45,171,heavy,self employee,3.34,397.54,agriculture,christin,st,no,wheatish,108.31
Timothy Ramakrishnan,22,158,avrage,startup,6.06,285.27,professional,buddhist,st,no,bark,97.71
Qadim Bhagat,42,180,athletic,private job,39.5,289.13,agriculture,hindu,general,yes,very fair,112.85
Chatresh Thaman,31,173,slim,business,17.72,18.26,politics,sikh,general,yes,wheatish,105.18
Nachiket Sridhar,23,200,slim,startup,8.01,339.5,business,jain,obc,no,very fair,52.1
Gunbir Bobal,46,163,avrage,self employee,19.02,70.91,agriculture,buddhist,general,no,wheatish,50.89
Dominic Sankar,21,179,athletic,private job,7.23,300.15,agriculture,hindu,obc,yes,wheatish,68.43
Joshua Patla,35,156,athletic,startup,9.53,413.46,professional,buddhist,sc,no,very fair,29.02
Aarav Toor,29,184,slim,business,35.74,70.31,business,muslim,st,yes,bark,23.16
Sarthak Choudhry,41,165,heavy,business,35.6,483.53,agriculture,buddhist,st,no,wheatish,34.01
Nathaniel Vig,22,171,slim,startup,26.89,229.93,business,jain,obc,no,bark,36.19
Frado Devan,44,171,slim,startup,10.46,54.67,politics,hindu,general,yes,wheatish,111.36
Liam Chakraborty,27,155,avrage,startup,37.09,417.17,politics,hindu,obc,no,bark,84.07
Arjun Sundaram,41,164,heavy,government job,35.68,342.11,business,jain,general,no,fair,89.21
Akshay Dua,28,180,athletic,startup,17.51,190.03,professional,buddhist,obc,no,fair,43.81
Ishwar Kota,48,193,athletic,startup,17.22,490.72,agriculture,muslim,obc,yes,wheatish,43.89
Rushil Rao,23,190,athletic,self employee,11.86,479.11,agriculture,buddhist,st,yes,bark,136.69
Xavier Bal,23,190,slim,private job,11.78,195.47,professional,buddhist,st,yes,bark,32.38
Hredhaan Rattan,40,183,slim,private job,25.53,309.51,agriculture,jain,general,yes,bark,40.96
Rohan Shenoy,27,183,athletic,business,7.66,155.03,professional,sikh,st,no,wheatish,10.82
Aadi Mital,44,164,athletic,government job,31.48,208.52,service,christin,obc,no,bark,74.95
Manbir Gandhi,44,192,avrage,startup,21.46,490.36,professional,christin,obc,yes,very fair,55.72
Gaurang Dyal,40,184,heavy,government job,29.52,53.94,politics,sikh,sc,no,bark,60.26
Wriddhish Bala,39,164,athletic,government job,32.66,112.9,agriculture,buddhist,obc,yes,wheatish,36.75
Faras Roy,36,166,slim,startup,31.18,99.36,politics,christin,general,yes,fair,65.85
Ansh Gara,26,176,avrage,private job,30.08,322.3,politics,jain,obc,no,wheatish,104.07
Frederick Narang,42,161,heavy,startup,8.29,470.67,business,jain,obc,yes,fair,15.23
Abhimanyu Korpal,39,157,heavy,government job,15.22,454.89,business,muslim,obc,no,bark,78.01
Thomas Kumar,33,179,heavy,business,26.25,390.92,agriculture,jain,st,no,wheatish,51.3
Tanay Saxena,48,167,heavy,business,39.75,53.14,business,christin,obc,yes,bark,78.67
Abeer Narayanan,40,185,heavy,startup,3.29,242.72,agriculture,hindu,obc,yes,very fair,101.04
Wridesh Sachdev,34,178,slim,startup,19.13,220.99,service,sikh,general,no,fair,112.56
Onveer Ben,29,196,athletic,government job,38.6,199.46,service,buddhist,general,yes,bark,43.36
Devansh Datta,34,166,avrage,self employee,37.37,106.09,agriculture,muslim,general,yes,wheatish,71.43
Max Doshi,31,173,avrage,government job,22.89,461.33,professional,hindu,st,yes,wheatish,75.55
Yatan Sundaram,28,171,athletic,business,39.08,244.94,professional,muslim,sc,no,fair,145.3
Bahadurjit Walia,44,163,avrage,startup,24.08,173.4,agriculture,hindu,sc,yes,very fair,110.52
Frederick Dayal,28,189,heavy,startup,37.64,321.41,business,christin,st,no,very fair,108.78
Mohammed Mander,32,196,avrage,business,8.38,72.08,service,jain,sc,yes,bark,24.33
Darpan Venkataraman,31,183,avrage,business,33.23,395.74,politics,sikh,st,no,wheatish,107.46
Wyatt Parekh,39,194,slim,private job,29.98,252.16,agriculture,hindu,st,no,very fair,126.68
Chanakya Sharaf,33,183,athletic,government job,39.68,412.74,business,muslim,general,no,bark,93.27
Bahadurjit Agrawal,44,173,slim,startup,20.11,238.14,business,jain,obc,no,fair,107.49
Darsh Prabhu,34,192,slim,business,28.24,439.3,professional,buddhist,obc,no,wheatish,105.88
George Kulkarni,37,159,avrage,self employee,28.35,258.48,business,sikh,st,no,very fair,98.38
Nakul Raju,46,164,athletic,business,23.58,226.2,service,buddhist,st,yes,very fair,54.75
Chanakya Sethi,21,186,avrage,self employee,27.18,483.7,service,muslim,sc,no,fair,107.3
Robert Srinivasan,45,160,avrage,private job,22.62,312.01,business,jain,st,no,bark,96.68
Ranbir Borra,46,168,avrage,private job,4.54,440.47,business,buddhist,sc,no,bark,147.09
Fariq Venkataraman,35,170,athletic,government job,11.56,151.18,service,muslim,obc,yes,bark,72.31
Kiaan Tripathi,33,185,heavy,government job,24.35,198.68,politics,buddhist,obc,no,very fair,41.13
Chandresh Johal,47,193,athletic,private job,12.3,248.09,politics,muslim,obc,yes,very fair,92.39
Yug Sundaram,44,161,athletic,startup,31.24,318.7,agriculture,christin,st,yes,very fair,53.02
Utkarsh Garde,46,193,athletic,private job,37.6,130.6,service,muslim,general,yes,wheatish,61.5
Gagan Bal,45,188,heavy,startup,18.89,445.01,politics,jain,general,no,wheatish,126.38
Jacob Balay,34,193,avrage,business,22.0,48.77,professional,hindu,general,yes,fair,88.19
Ranbir Kapur,26,180,avrage,startup,14.93,215.34,agriculture,hindu,obc,no,wheatish,137.01
Aarush Dara,24,198,slim,business,9.6,284.85,professional,buddhist,obc,no,bark,103.24
Jagat Kalla,28,156,slim,startup,18.18,408.05,agriculture,christin,sc,no,fair,13.9
Aayush Khare,32,162,heavy,business,7.67,245.38,professional,hindu,general,yes,very fair,36.97
Darsh Tandon,47,177,athletic,business,38.74,337.21,professional,muslim,sc,no,very fair,65.7
Aarnav Shan,27,181,athletic,government job,13.15,10.93,service,buddhist,sc,yes,wheatish,141.81
Mohammed Lad,46,169,heavy,private job,15.06,102.88,service,buddhist,obc,yes,very fair,43.27
Luke Chowdhury,32,191,athletic,business,36.31,111.71,business,christin,obc,yes,wheatish,135.44
Fiyaz Shanker,40,165,heavy,government job,24.34,133.61,business,christin,sc,yes,fair,120.31
Shaurya Munshi,39,160,slim,startup,27.62,403.81,politics,hindu,general,yes,wheatish,37.18
Nathaniel Nair,42,188,avrage,startup,23.74,380.34,business,muslim,sc,no,bark,53.47
Luke Singh,36,160,avrage,business,24.7,394.2,politics,muslim,general,no,fair,142.09
Aayush Hora,43,181,slim,private job,21.99,268.93,service,christin,sc,yes,fair,117.27
Udarsh Tak,44,191,avrage,business,38.22,126.06,agriculture,sikh,st,yes,fair,104.3
Teerth Rout,46,164,slim,self employee,38.89,161.76,agriculture,sikh,st,yes,bark,84.0
Maanas Purohit,28,189,slim,business,12.15,74.25,business,christin,sc,yes,bark,97.14
Finn Majumdar,32,187,heavy,private job,7.74,158.58,agriculture,jain,sc,yes,bark,18.64
Imaran Bir,32,159,avrage,private job,5.47,479.53,service,sikh,sc,no,very fair,95.94
Ojas Palla,41,166,avrage,self employee,28.28,67.98,agriculture,jain,st,no,very fair,40.86
Yug Bhatnagar,26,200,slim,business,39.05,268.5,agriculture,muslim,sc,yes,very fair,62.31
Jeremiah Wagle,36,200,avrage,startup,7.8,311.02,agriculture,buddhist,obc,no,bark,60.84
Yug Banik,25,181,athletic,private job,14.23,175.59,agriculture,jain,general,no,wheatish,82.4
Theodore Mistry,36,186,heavy,self employee,18.85,223.04,agriculture,hindu,obc,yes,fair,44.15
Ekansh Bhatia,33,158,athletic,self employee,6.23,459.2,politics,buddhist,sc,yes,wheatish,70.45
Parth Bath,32,157,heavy,business,30.3,420.35,agriculture,muslim,sc,yes,wheatish,13.07
Zayan Chaudhuri,37,168,avrage,self employee,37.64,71.53,business,christin,obc,no,bark,79.95
Faqid Chauhan,41,158,avrage,startup,18.1,197.37,professional,muslim,general,yes,wheatish,106.54
Charles Sengupta,30,163,avrage,private job,36.54,27.02,agriculture,jain,obc,yes,wheatish,26.51
Frado Dyal,33,158,heavy,business,3.96,82.88,business,buddhist,obc,yes,bark,19.43
Isaac Bhasin,35,168,avrage,business,26.5,38.73,service,sikh,sc,yes,fair,84.05
Om Ramachandran,25,190,athletic,startup,9.21,270.73,agriculture,christin,sc,yes,very fair,60.72
Aayush Hayre,48,178,slim,self employee,19.45,393.15,service,buddhist,obc,yes,wheatish,14.25
Advik Deol,26,196,heavy,government job,10.59,108.57,politics,jain,sc,no,bark,67.8
Jason Rai,40,196,athletic,self employee,11.0,334.32,service,buddhist,general,no,wheatish,75.48
Gaurang Agate,45,184,slim,government job,35.17,246.15,agriculture,christin,obc,yes,very fair,10.45
Abhiram Nori,46,164,slim,government job,28.58,79.57,professional,buddhist,obc,yes,fair,61.9
Dev Behl,39,200,athletic,private job,16.02,87.33,professional,muslim,sc,no,very fair,140.46
Kabir Oza,31,185,avrage,business,31.81,79.86,service,jain,general,yes,bark,29.67
Zaid Agrawal,45,160,athletic,startup,19.43,324.33,agriculture,sikh,st,yes,wheatish,105.07
Kai Hora,47,175,athletic,startup,22.73,87.18,agriculture,muslim,sc,no,wheatish,85.01
Nathan Dewan,34,163,slim,private job,32.34,448.48,professional,christin,sc,yes,fair,18.0
Alexander Khalsa,35,182,slim,self employee,27.14,401.47,politics,hindu,sc,no,fair,62.36
Theodore Divan,33,185,heavy,government job,29.73,297.74,service,buddhist,obc,yes,very fair,110.68
Yug Chand,40,179,athletic,private job,30.15,486.61,service,muslim,obc,yes,fair,137.36
Jairaj Seshadri,47,199,avrage,business,27.66,51.59,business,jain,sc,yes,fair,113.65
Xavier Kar,27,192,athletic,self employee,23.53,459.69,agriculture,muslim,st,yes,bark,93.51
Guneet Sem,36,181,athletic,government job,14.17,459.85,politics,sikh,sc,yes,wheatish,129.24
Nathaniel Sood,27,200,avrage,private job,34.74,113.65,business,buddhist,obc,yes,wheatish,116.64
Daksh Chhabra,24,169,avrage,business,21.49,133.67,agriculture,muslim,general,no,wheatish,132.32
Xavier Atwal,36,163,slim,business,9.08,398.56,professional,sikh,sc,no,fair,16.1
Wazir Iyer,29,197,heavy,self employee,5.48,240.23,politics,muslim,st,yes,fair,38.66
Baljiwan Palla,36,166,heavy,government job,19.43,31.82,politics,christin,st,yes,very fair,102.38
Daniel Dewan,36,155,avrage,government job,10.67,76.96,business,muslim,obc,no,very fair,91.09
Ikbal Gole,43,178,avrage,government job,36.75,72.28,business,christin,sc,no,bark,22.68
Charles Shanker,28,163,avrage,business,28.85,305.58,politics,muslim,st,yes,very fair,59.2
Dhruv Mittal,28,177,heavy,self employee,37.44,386.59,agriculture,muslim,general,yes,fair,93.72
Udarsh Kant,25,162,slim,self employee,7.62,69.04,service,sikh,sc,yes,wheatish,54.01
Rishi Ganesan,38,186,heavy,business,15.52,441.64,politics,sikh,st,no,wheatish,13.99
Nakul Varma,46,182,heavy,private job,13.61,99.27,agriculture,buddhist,obc,no,very fair,65.08
Balvan Murthy,29,155,heavy,private job,38.85,420.19,politics,muslim,general,yes,wheatish,29.78
Laban Patil,44,171,athletic,self employee,6.81,326.81,service,sikh,st,yes,fair,127.49
Caleb Shenoy,42,169,avrage,startup,22.04,32.49,agriculture,christin,obc,no,bark,49.65
Faraj Madan,34,161,avrage,business,34.57,421.38,business,christin,sc,yes,bark,21.08
Azad Naidu,46,195,heavy,business,33.51,78.65,politics,jain,sc,no,wheatish,44.17
Krishna Dada,25,168,slim,self employee,33.88,327.29,professional,muslim,st,yes,bark,102.05
Nathan Sami,40,178,athletic,government job,30.5,467.35,agriculture,muslim,sc,yes,fair,32.35
Hritik Dar,31,187,slim,government job,5.51,404.73,professional,jain,general,no,bark,63.32
Advaith Bora,23,192,heavy,private job,23.19,171.32,business,muslim,general,yes,very fair,60.88
Jacob Wable,32,164,slim,business,20.26,379.92,service,jain,st,yes,bark,38.23
Chandresh Ramanathan,39,169,avrage,government job,30.44,137.28,business,christin,general,no,wheatish,76.14
Champak Dey,33,163,athletic,startup,32.53,320.21,business,muslim,general,yes,very fair,59.11
Yuvraj Krish,40,195,slim,self employee,15.65,195.64,agriculture,muslim,sc,yes,very fair,32.69
Wriddhish Goda,31,157,athletic,self employee,32.26,215.33,agriculture,buddhist,obc,no,bark,59.2
Ekalinga Thakkar,33,195,avrage,business,28.65,290.3,business,jain,general,no,very fair,78.19
Nicholas Ratti,47,188,athletic,startup,39.88,289.79,politics,buddhist,obc,yes,bark,106.33
Rudra Rajagopalan,26,172,athletic,startup,19.6,256.73,service,buddhist,sc,yes,very fair,132.52
Sathvik De,22,179,athletic,private job,7.2,419.39,business,buddhist,st,no,fair,133.19
Quincy D’Alia,28,182,slim,government job,39.97,476.0,politics,christin,obc,no,bark,105.95
Ronith Iyer,28,175,heavy,self employee,13.27,163.34,politics,christin,general,yes,fair,16.44
Atharv Dass,29,158,slim,business,15.99,248.3,service,sikh,obc,yes,fair,90.86
Zehaan Bora,44,170,athletic,self employee,30.08,325.81,politics,christin,st,no,very fair,42.98
Harshil Bassi,30,174,avrage,business,36.26,348.69,professional,muslim,sc,no,wheatish,123.19
Ronith Krish,25,199,athletic,business,17.65,57.31,service,christin,st,yes,fair,83.77
Ranbir Baria,36,161,athletic,government job,18.87,355.45,professional,christin,general,no,bark,93.29
Rushil Zacharia,39,158,heavy,self employee,19.0,441.51,politics,sikh,obc,yes,fair,73.13
Theodore Kibe,40,155,slim,private job,22.27,137.29,agriculture,sikh,st,no,fair,21.77
Darsh Ratti,22,161,avrage,business,37.68,278.8,service,jain,general,yes,very fair,32.63
Naveen Ganesh,40,183,avrage,private job,4.8,370.46,agriculture,sikh,obc,yes,fair,42.72
Jagdish Kurian,39,155,slim,private job,5.1,261.39,politics,sikh,st,no,wheatish,69.37
Ekaraj Rattan,45,176,avrage,self employee,30.11,26.59,politics,christin,general,no,very fair,112.56
David Madan,34,155,athletic,business,34.23,390.3,professional,muslim,obc,yes,very fair,54.16
Neel Sankaran,42,163,slim,self employee,25.49,106.56,politics,muslim,obc,no,very fair,93.43
Girindra Char,27,196,slim,private job,6.63,455.61,business,sikh,general,yes,wheatish,134.77
Chandran Naidu,43,178,athletic,business,26.89,450.28,politics,sikh,st,yes,bark,39.36
Kiaan Pall,29,173,slim,business,15.78,42.0,professional,hindu,st,no,wheatish,43.8
Max Tripathi,30,175,heavy,self employee,6.0,235.67,service,sikh,obc,no,bark,61.25
Laksh Mangal,46,172,avrage,business,27.88,119.9,professional,christin,sc,no,bark,132.46
Yuvraj Bhatnagar,44,157,athletic,business,10.44,436.0,professional,muslim,obc,yes,wheatish,119.82
Theodore Venkatesh,33,165,athletic,startup,35.21,408.73,business,muslim,obc,no,very fair,138.35
Aarnav Devi,43,162,avrage,business,4.61,429.46,agriculture,jain,sc,yes,wheatish,140.78
Rachit Mahal,43,184,slim,self employee,10.65,295.58,business,hindu,general,yes,fair,108.3
Wyatt Brar,47,183,avrage,startup,25.28,25.33,service,buddhist,st,yes,very fair,79.89
Arin Bajwa,44,199,heavy,business,16.33,222.63,professional,muslim,st,no,fair,12.09
Wazir Trivedi,28,199,avrage,government job,30.78,179.29,agriculture,hindu,obc,yes,fair,56.43
Avi Golla,38,182,heavy,self employee,11.96,54.63,agriculture,christin,obc,yes,fair,29.49
Kai Iyengar,45,188,athletic,startup,37.62,310.77,professional,muslim,sc,no,fair,92.08
Hardik Char,35,199,heavy,private job,38.71,351.75,politics,sikh,general,no,fair,147.05
Caleb More,33,172,slim,government job,36.85,60.98,agriculture,christin,st,no,bark,15.92
Onveer Dugal,41,184,avrage,government job,15.98,259.64,agriculture,buddhist,sc,yes,wheatish,44.22
Chatura Vaidya,22,185,athletic,startup,31.46,138.36,politics,jain,st,yes,very fair,31.42
Pranit Reddy,21,160,avrage,startup,23.72,440.88,professional,buddhist,general,yes,very fair,124.61
Gagan Borah,36,195,athletic,startup,24.38,431.95,politics,jain,sc,no,fair,15.31
Max Jain,37,181,athletic,business,28.67,465.26,professional,christin,obc,no,very fair,81.57
Wahab Acharya,28,175,heavy,self employee,13.12,214.66,agriculture,hindu,st,yes,fair,101.71
Anirudh Arya,24,179,athletic,self employee,27.33,49.93,professional,buddhist,st,no,fair,46.91
Umang Kohli,35,169,avrage,startup,21.6,132.82,professional,hindu,general,no,bark,17.38
Ekavir Babu,44,169,athletic,self employee,36.5,184.71,politics,christin,general,yes,bark,35.13
Patrick Sangha,27,181,athletic,government job,17.67,176.28,agriculture,christin,st,yes,wheatish,140.02
Aadi Sule,32,198,heavy,business,33.8,71.48,politics,buddhist,sc,no,bark,18.65
Vihaan Nigam,21,192,athletic,business,27.54,366.9,professional,hindu,general,yes,wheatish,103.49
Chandresh Nanda,42,182,avrage,business,6.12,476.35,business,hindu,obc,no,wheatish,100.13
Wyatt Borra,23,199,avrage,private job,5.36,176.26,agriculture,jain,general,no,very fair,124.75
Nihal Sharaf,22,162,athletic,private job,6.87,248.37,business,jain,obc,no,wheatish,46.54
Daniel Tak,21,196,athletic,government job,18.76,422.97,professional,jain,general,no,fair,148.69
Aryan Iyengar,25,165,avrage,business,17.04,473.56,service,jain,st,no,fair,135.65
Girish Badal,28,185,heavy,self employee,12.49,263.76,professional,christin,obc,no,wheatish,37.6
Dhruv Narang,21,171,avrage,startup,32.06,106.78,professional,muslim,st,no,fair,92.04
Ranveer Jhaveri,31,178,avrage,business,35.8,43.03,agriculture,hindu,general,yes,bark,116.53
Samuel Bir,27,172,heavy,government job,12.94,13.29,business,buddhist,obc,no,fair,110.74
Gabriel Suri,39,193,heavy,government job,5.74,264.58,politics,christin,obc,no,wheatish,101.9
Daksh Karan,38,176,avrage,private job,13.89,265.07,professional,hindu,st,no,wheatish,32.29
